player_name	normalized_name
Xavier Worthy	xavier worthy
J.J. Arcega-Whiteside	jj arcega-whiteside
Christian Blake	christian blake
Feleipe Franks	feleipe franks
Brevyn Spann-Ford	brevyn spann-ford
Dominik Eberle	dominik eberle
Devin Asiasi	devin asiasi
Ray-Ray McCloud	ray-ray mccloud
Tanner Hudson	tanner hudson
Corey Kiner	corey kiner
Nick Folk	nick folk
Jahan Dotson	jahan dotson
Evan Engram	evan engram
Kenny Stills	kenny stills
Kendre Miller	kendre miller
KaVontae Turpin	kavontae turpin
Ollie Gordon II	ollie gordon
Ihmir Smith-Marsette	ihmir smith-marsette
Rico Gafford	rico gafford
Detrez Newsome	detrez newsome
Davante Adams	davante adams
Devon Allen	devon allen
Dillon Stoner	dillon stoner
Ryan Tannehill	ryan tannehill
Michael Penix Jr.	michael penix
Chase Brown	chase brown
Trevon Wesco	trevon wesco
Corey Clement	corey clement
Elic Ayomanor	elic ayomanor
Darrel Williams	darrel williams
Trinity Benson	trinity benson
Dwayne Allen	dwayne allen
Carter Runyon	carter runyon
Tyrion Davis-Price	tyrion davis-price
Quez Watkins	quez watkins
Noah Brown	noah brown
Efton Chism III	efton chism
James Washington	james washington
Aaron Jones	aaron jones
Cody Core	cody core
Lee Smith	lee smith
Princeton Fant	princeton fant
Penny Hart	penny hart
Trey Burton	trey burton
Geremy Davis	geremy davis
Matt Moore	matt moore
Chris Ivory	chrisory
Parker Washington	parker washington
Tyrell Williams	tyrell williams
Jarius Wright	jarius wright
Jakobi Meyers	jakobi meyers
Dezmon Patmon	dezmon patmon
Bailey Zappe	bailey zappe
Kahale Warring	kahale warring
John Franklin	john franklin
Raheem Mostert	raheem mostert
Tyrone Tracy Jr.	tyrone tracy
Lucas Havrisik	lucas havrisik
Dillon Gabriel	dillon gabriel
Steven Mitchell	steven mitchell
Damion Ratley	damion ratley
Kaden Smith	kaden smith
Isaiah Crowell	isaiah crowell
Cameron Dicker	cameron dicker
Michael Carter	michael carter
Andre Holmes	andre holmes
Vance McDonald	vance mcdonald
Mason Tipton	mason tipton
Nate McCrary	nate mccrary
Orson Charles	orson charles
Erick All	erick all
Robbie Ouzts	robbie ouzts
Harold Fannin Jr.	harold fannin
Cade Otton	cade otton
Brandon Marshall	brandon marshall
Justin Watson	justin watson
Amar Johnson	amar johnson
Jason Huntley	jason huntley
River Cracraft	river cracraft
T.J. Jones	tj jones
Zaire Mitchell-Paden	zaire mitchell-paden
Tyler Warren	tyler warren
Trey McBride	trey mcbride
Darrell Daniels	darrell daniels
Adam Trautman	adam trautman
Dez Bryant	dez bryant
Kendrick Bourne	kendrick bourne
Ishmael Hyman	ishmael hyman
Evan Baylis	evan baylis
Stacy Coley	stacy coley
Ryan Flournoy	ryan flournoy
Cade York	cade york
Seth DeValve	seth devalve
Matt Sokol	matt sokol
Raleigh Webb	raleigh webb
Ryan Griffin	ryan griffin
Jack Doyle	jack doyle
Dede Westbrook	dede westbrook
Andre Roberts	andre roberts
Rashod Bateman	rashod bateman
Richard Rodgers	richard rodgers
J.D. McKissic	jd mckissic
Josiah Deguara	josiah deguara
Jamison Crowder	jamison crowder
Jordan Wilkins	jordan wilkins
Xavier Jones	xavier jones
John FitzPatrick	john fitzpatrick
Charone Peake	charone peake
Cody White	cody white
Deven Thompkins	deven thompkins
Khalil Herbert	khalil herbert
Sione Vaki	sioneaki
Tory Horton	tory horton
Curtis Samuel	curtis samuel
Elijah Dotson	elijah dotson
J.J. McCarthy	jj mccarthy
Austin Ekeler	austin ekeler
Niles Paul	niles paul
James Proche	james proche
Dalton Schultz	dalton schultz
Ty'Son Williams	ty'son williams
KeAndre Lambert-Smith	keandre lambert-smith
Colin Thompson	colin thompson
Dalvin Cook	dalvin cook
Tyler Ervin	tyler ervin
Elijah Higgins	elijah higgins
Jason Moore	jason moore
Chris Carson	chris carson
Ameer Abdullah	ameer abdullah
Allen Hurns	allen hurns
Anthony Richardson	anthony richardson
Zach Davidson	zach davidson
Armani Rogers	armani rogers
Kyle Lauletta	kyle lauletta
A.T. Perry	at perry
Cody Latimer	cody latimer
Chris Hogan	chris hogan
Dennis Houston	dennis houston
Matt Ryan	matt ryan
Connor Heyward	connor heyward
Brady Cook	brady cook
Dalen Cambre	dalen cambre
Braxton Berrios	braxton berrios
Spencer Rattler	spencer rattler
Trestan Ebner	trestan ebner
Snoop Conner	snoop conner
Trevor Lawrence	trevor lawrence
Alex Kessman	alex kessman
Albert Okwuegbunam	albert okwuegbunam
Damiere Byrd	damiere byrd
Dion Lewis	dion lewis
Charlie Jones	charlie jones
Colby Parkinson	colby parkinson
Kelvin Harmon	kelvin harmon
Kelvin Benjamin	kelvin benjamin
Eric Saubert	eric saubert
Jalen Guyton	jalen guyton
Marcell Ateman	marcell ateman
Marqise Lee	marqise lee
Marshawn Lynch	marshawn lynch
Kenneth Dixon	kenneth dixon
Ainias Smith	ainias smith
Aldrick Rosas	aldrick rosas
David Martin-Robinson	david martin-robinson
Jeremy McNichols	jeremy mcnichols
Sam LaPorta	sam laporta
Bucky Irving	bucky irving
Trace McSorley	trace mcsorley
Harrison Bryant	harrison bryant
Greg Zuerlein	greg zuerlein
MyCole Pruitt	mycole pruitt
DeAndre Carter	deandre carter
A.J. Derby	aj derby
Cordarrelle Patterson	cordarrelle patterson
Tez Johnson	tez johnson
Emeka Egbuka	emeka egbuka
Jared Wayne	jared wayne
Caleb Huntley	caleb huntley
Artavis Pierce	artavis pierce
Mike Glennon	mike glennon
Dan Arnold	dan arnold
J.P. Holtz	jp holtz
Michael Mayer	michael mayer
Terry McLaurin	terry mclaurin
Easton Stick	easton stick
Brice Butler	brice butler
Kawaan Baker	kawaan baker
Ryan Santoso	ryan santoso
Dalevon Campbell	dalevon campbell
Breece Hall	breece hall
Boston Scott	boston scott
Stanley Berryhill	stanley berryhill
Bradley Sowell	bradley sowell
Nico Collins	nico collins
Patrick Taylor	patrick taylor
Jaylen Wright	jaylen wright
Ross Travis	ross travis
Devin Singletary	devin singletary
Jason Sanders	jason sanders
Quincy Enunwa	quincy enunwa
Jordan Love	jordan love
AJ Dillon	aj dillon
DeShone Kizer	deshone kizer
Logan Thomas	logan thomas
Josh Malone	josh malone
Miller Forristall	miller forristall
Tanner McEvoy	tanner mcevoy
Shelton Gibson	shelton gibson
Andy Dalton	andy dalton
Trey Benson	trey benson
Cameron Batson	cameron batson
Dante Pettis	dante pettis
Dustin Hopkins	dustin hopkins
Bub Means	bub means
Jacoby Brissett	jacoby brissett
Scott Simonson	scott simonson
Jamal Agnew	jamal agnew
Demetrius Harris	demetrius harris
Harrison Mevis	harrison mevis
John Metchie III	john metchie
Lance Lenoir	lance lenoir
Rhett Ellison	rhett ellison
Luke Stocker	luke stocker
Derius Davis	derius davis
Elijah McGuire	elijah mcguire
Charcandrick West	charcandrick west
Ryan Switzer	ryan switzer
Kyle Allen	kyle allen
Kyle Williams	kyle williams
Brandon Wilds	brandon wilds
Julio Jones	julio jones
Velus Jones Jr.	velus jones
Zavier Scott	zavier scott
Luke McCaffrey	luke mccaffrey
Brandon Aiyuk	brandon aiyuk
Hendon Hooker	hendon hooker
Case Keenum	case keenum
Taquan Mizzell	taquan mizzell
Matt Dayes	matt dayes
Patrick DiMarco	patrick dimarco
David Blough	david blough
J.J. Taylor	jj taylor
Jeff Driskel	jeff driskel
Drew Sample	drew sample
Tony Jones	tony jones
Jaxson Dart	jaxson dart
Sammy Watkins	sammy watkins
Ian Book	ian book
Isaiah McKenzie	isaiah mckenzie
Darnell Mooney	darnell mooney
Marquise Goodwin	marquise goodwin
Mecole Hardman	mecole hardman
Matt Prater	matt prater
Corey Grant	corey grant
Carlos Hyde	carlos hyde
Sam Ehlinger	sam ehlinger
Trenton Cannon	trenton cannon
Chris Oladokun	chris oladokun
Chase Daniel	chase daniel
Jermaine Burton	jermaine burton
Xavier Legette	xavier legette
Bryce Ford-Wheaton	bryce ford-wheaton
Jacob Hollister	jacob hollister
Preston Williams	preston williams
Ke'Shawn Vaughn	ke'shawnaughn
Brock Wright	brock wright
Jonathan Stewart	jonathan stewart
Xavier Hutchinson	xavier hutchinson
Jalen Cropper	jalen cropper
Marcedes Lewis	marcedes lewis
Bronson Kaufusi	bronson kaufusi
Derrick Gore	derrick gore
Rod Streater	rod streater
Jordan Scarlett	jordan scarlett
David Montgomery	david montgomery
Ja'Marr Chase	ja'marr chase
Jayden Reed	jayden reed
Marquez Stevenson	marquez stevenson
LeQuint Allen Jr.	lequint allen
Thomas Fidone II	thomas fidone
Frank Gore	frank gore
Nick Chubb	nick chubb
Johnny Holton	johnny holton
Charlie Kolar	charlie kolar
Drake London	drake london
Travis Vokolek	travisokolek
Justin Shorter	justin shorter
Cam Phillips	cam phillips
DJ Chark	dj chark
Rodney Smith	rodney smith
Mike Nugent	mike nugent
Sean Tucker	sean tucker
Trey Lance	trey lance
Brandon Tate	brandon tate
Calvin Ridley	calvin ridley
Mark Walton	mark walton
Julius Chestnut	julius chestnut
Miles Sanders	miles sanders
Jason Myers	jason myers
Khari Lee	khari lee
Ryan Fitzpatrick	ryan fitzpatrick
David Fluellen	david fluellen
Brandin Cooks	brandin cooks
Landen Akers	landen akers
Tyler Johnson	tyler johnson
Patrick Laird	patrick laird
Matt Cassel	matt cassel
De'Michael Harris	de'michael harris
Bo Scarbrough	bo scarbrough
Ben Sauls	ben sauls
Cole Turner	cole turner
David Wells	david wells
Isaiah Coulter	isaiah coulter
